"","Sensor","Date_Time","Date","Time","Count"
"301","Faraday St-Lygon St (West)",2017-07-01 04:00:00,2017-07-01,4,NA
"302","QVM-Franklin St (North)",2017-07-01 04:00:00,2017-07-01,4,NA
"303","Elizabeth St-Lonsdale St (South)",2017-07-01 04:00:00,2017-07-01,4,NA
"304","Lincoln-Swanston (W)",2017-07-01 04:00:00,2017-07-01,4,NA
"305","Elizabeth St-La Trobe St (East)",2017-07-01 04:00:00,2017-07-01,4,NA
"306","Lonsdale St - Elizabeth St (North)",2017-07-01 04:00:00,2017-07-01,4,NA
"307","Bourke St Bridge",2017-07-01 04:00:00,2017-07-01,4,NA
"308","Bourke St - Spencer St (North)",2017-07-01 04:00:00,2017-07-01,4,NA
"309","RMIT Bld 80 - 445 Swanston Street",2017-07-01 04:00:00,2017-07-01,4,NA
"310","Flinders La-Swanston St (West) Temporary",2017-07-01 04:00:00,2017-07-01,4,NA
"311","RMIT Building 14",2017-07-01 04:00:00,2017-07-01,4,NA
"312","380 Elizabeth St",2017-07-01 04:00:00,2017-07-01,4,NA
"313","La Trobe St (North)",2017-07-01 04:00:00,2017-07-01,4,NA
"314","231 Bourke St",2017-07-01 04:00:00,2017-07-01,4,NA
"315","Royal Pde - Grattan St",2017-07-01 04:00:00,2017-07-01,4,NA
"316","Bourke Street Mall (North)",2017-07-01 05:00:00,2017-07-01,5,28
"317","Bourke Street Mall (South)",2017-07-01 05:00:00,2017-07-01,5,20
"318","Melbourne Central",2017-07-01 05:00:00,2017-07-01,5,147
"319","Town Hall (West)",2017-07-01 05:00:00,2017-07-01,5,96
"320","Princes Bridge",2017-07-01 05:00:00,2017-07-01,5,0
"321","Flinders Street Station Underpass",2017-07-01 05:00:00,2017-07-01,5,146
"322","Birrarung Marr",2017-07-01 05:00:00,2017-07-01,5,29
"323","Webb Bridge",2017-07-01 05:00:00,2017-07-01,5,4
"324","Southern Cross Station",2017-07-01 05:00:00,2017-07-01,5,20
"325","Victoria Point",2017-07-01 05:00:00,2017-07-01,5,14
"326","Waterfront City",2017-07-01 05:00:00,2017-07-01,5,2
"327","New Quay",2017-07-01 05:00:00,2017-07-01,5,8
"328","Flagstaff Station",2017-07-01 05:00:00,2017-07-01,5,0
"329","Sandridge Bridge",2017-07-01 05:00:00,2017-07-01,5,71
"330","State Library",2017-07-01 05:00:00,2017-07-01,5,43
"331","Collins St (North)",2017-07-01 05:00:00,2017-07-01,5,33
"332","Collins Place (South)",2017-07-01 05:00:00,2017-07-01,5,30
"333","Collins Place (North)",2017-07-01 05:00:00,2017-07-01,5,14
"334","Chinatown-Swanston St (North)",2017-07-01 05:00:00,2017-07-01,5,37
"335","Chinatown-Lt Bourke St (South)",2017-07-01 05:00:00,2017-07-01,5,33
"336","Bourke St-Russell St (West)",2017-07-01 05:00:00,2017-07-01,5,163
"337","Flinders St-Elizabeth St (East)",2017-07-01 05:00:00,2017-07-01,5,168
"338","Spencer St-Collins St (South)",2017-07-01 05:00:00,2017-07-01,5,34
"339","Spencer St-Collins St (North)",2017-07-01 05:00:00,2017-07-01,5,106
"340","Melbourne Convention Exhibition Centre",2017-07-01 05:00:00,2017-07-01,5,20
"341","QV Market-Elizabeth St (West)",2017-07-01 05:00:00,2017-07-01,5,67
"342","QV Market-Peel St",2017-07-01 05:00:00,2017-07-01,5,21
"343","The Arts Centre",2017-07-01 05:00:00,2017-07-01,5,76
"344","St Kilda Rd-Alexandra Gardens",2017-07-01 05:00:00,2017-07-01,5,27
"345","Lonsdale St (South)",2017-07-01 05:00:00,2017-07-01,5,94
"346","Lygon St (West)",2017-07-01 05:00:00,2017-07-01,5,2
"347","City Square",2017-07-01 05:00:00,2017-07-01,5,NA
"348","Flinders St-Spring St (West)",2017-07-01 05:00:00,2017-07-01,5,11
"349","Flinders St-Spark La",2017-07-01 05:00:00,2017-07-01,5,9
"350","Southbank",2017-07-01 05:00:00,2017-07-01,5,56
"351","Queen St (West)",2017-07-01 05:00:00,2017-07-01,5,9
"352","Lygon St (East)",2017-07-01 05:00:00,2017-07-01,5,7
"353","Alfred Place",2017-07-01 05:00:00,2017-07-01,5,5
